,color,next_play,balance,bet_amount
2705,black,black,187370,10
2706,black,black,187380,10
2707,black,black,187390,10
2708,red,red,187380,20
2709,black,black,187360,40
2710,black,black,187400,10
2711,red,red,187390,20
2712,black,black,187370,40
2713,black,black,187410,10
2714,red,red,187400,20
2715,black,black,187380,40
2716,black,black,187420,10
2717,red,red,187410,20
2718,red,red,187430,10
2719,red,red,187440,10
2720,red,red,187450,10
2721,black,black,187440,20
2722,black,black,187460,10
2723,red,red,187450,20
2724,red,red,187470,10
2725,red,red,187480,10
2726,black,black,187470,20
2727,black,black,187490,10
2728,red,red,187480,20
2729,red,red,187500,10
2730,red,red,187510,10
2731,black,black,187500,20
2732,black,black,187520,10
2733,black,black,187530,10
2734,black,black,187540,10
2735,green,none,187530,20
2736,black,black,187530,20
2737,black,black,187550,10
2738,black,black,187560,10
2739,red,red,187550,20
2740,black,black,187530,40
2741,black,black,187570,10
2742,black,black,187580,10
2743,red,red,187570,20
2744,black,black,187550,40
2745,black,black,187590,10
2746,red,red,187580,20
2747,green,none,187560,40
2748,red,red,187560,40
2749,red,red,187600,10
2750,black,black,187590,20
2751,black,black,187610,10
2752,black,black,187620,10
2753,red,red,187610,20
2754,red,red,187630,10
2755,black,black,187620,20
2756,black,black,187640,10
2757,red,red,187630,20
2758,black,black,187610,40
2759,black,black,187650,10
2760,red,red,187640,20
2761,red,red,187660,10
2762,red,red,187670,10
2763,black,black,187660,20
2764,red,red,187640,40
2765,red,red,187680,10
2766,red,red,187690,10
2767,black,black,187680,20
2768,black,black,187700,10
2769,black,black,187710,10
2770,red,red,187700,20
2771,black,black,187680,40
2772,red,red,187640,80
2773,red,red,187720,10
2774,red,red,187730,10
2775,red,red,187740,10
2776,red,red,187750,10
2777,black,black,187740,20
2778,black,black,187760,10
2779,black,black,187770,10
2780,red,red,187760,20
2781,black,black,187740,40
2782,black,black,187780,10
2783,black,black,187790,10
2784,black,black,187800,10
2785,black,black,187810,10
2786,red,red,187800,20
2787,red,red,187820,10
2788,red,red,187830,10
2789,black,black,187820,20
2790,red,red,187800,40
2791,red,red,187840,10
2792,black,black,187830,20
2793,black,black,187850,10
2794,black,black,187860,10
2795,red,red,187850,20
2796,black,black,187830,40
2797,red,red,187790,80
2798,red,red,187870,10
2799,red,red,187880,10
2800,red,red,187890,10
2801,black,black,187880,20
2802,green,none,187860,40
2803,black,black,187860,40
2804,black,black,187900,10
2805,red,red,187890,20
2806,black,black,187870,40
2807,red,red,187830,80
2808,red,red,187910,10
2809,red,red,187920,10
2810,red,red,187930,10
2811,black,black,187920,20
2812,black,black,187940,10
2813,red,red,187930,20
2814,red,red,187950,10
2815,red,red,187960,10
2816,red,red,187970,10
2817,black,black,187960,20
2818,red,red,187940,40
2819,black,black,187900,80
2820,black,black,187980,10
2821,black,black,187990,10
2822,red,red,187980,20
2823,black,black,187960,40
2824,black,black,188000,10
2825,black,black,188010,10
2826,red,red,188000,20
2827,red,red,188020,10
2828,black,black,188010,20
2829,black,black,188030,10
2830,red,red,188020,20
2831,red,red,188040,10
2832,red,red,188050,10
2833,green,none,188040,20
2834,black,black,188040,20
2835,green,none,188020,40
2836,red,red,188020,40
2837,red,red,188060,10
2838,black,black,188050,20
2839,black,black,188070,10
2840,black,black,188080,10
2841,black,black,188090,10
2842,black,black,188100,10
2843,red,red,188090,20
2844,black,black,188070,40
2845,red,red,188030,80
2846,black,black,187950,160
2847,black,black,188110,10
2848,red,red,188100,20
2849,black,black,188080,40
2850,black,black,188120,10
2851,green,none,188110,20
2852,black,black,188110,20
2853,red,red,188090,40
2854,black,black,188050,80
2855,black,black,188130,10
2856,red,red,188120,20
2857,black,black,188100,40
2858,green,none,188060,80
2859,red,red,188060,80
2860,black,black,187980,160
2861,black,black,188140,10
2862,red,red,188130,20
2863,black,black,188110,40
2864,red,red,188070,80
2865,red,red,188150,10
2866,black,black,188140,20
2867,black,black,188160,10
2868,red,red,188150,20
2869,red,red,188170,10
2870,black,black,188160,20
2871,red,red,188140,40
2872,red,red,188180,10
